id,model_name,name,manufacturer,master_code,item_type,reference_price,default_currency,variant_cnt,stock_items,stock_qty,order_items,action,target_id,new_model_name,new_name,new_manufacturer,notes
cmntcmnx800is10kdrg1i6td5,계류자재,계류자재,대호기업,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnx600ij10kdeyyntpqo,계류자재,계류자재,(주)가나기업,,SIMPLE,,,0,2,0,0,,,,,,
cmntcmnx800it10kdfeasvd67,계류자재,계류자재,Unknown,,SIMPLE,,,0,1,1,0,,,,,,
cmntcmnx200hh10kdhopm3gd4,소형윈치,소형윈치,마린테크,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnwv00gc10kdo2dj4mqa,소형윈치,소형윈치,엘에스엔제이 주식회사,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnxi00kl10kd0psjb9t4,컨테이너,컨테이너,지구컨테이너,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnx200hg10kd9rb1869y,컨테이너,컨테이너,(주)대명컨테이너상사,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnx300ho10kd1kmpjh6m,5106,Wind sensor,이엘피,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnv7005510kdq39d7c4i,5106,Wind sensor,RM Young,,SIMPLE,,,0,13,10,0,,,,,,
cmntcmnwg00do10kdiqzh84c0,10m,CT센서 케이블 6475,AADI,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnvu009610kd7ktiep75,10m,AC Power cable,C-Max,,SIMPLE,,,0,4,2,0,,,,,,
cmntcmnx400hy10kd0ssqfka6,2TB,SSD,삼성SAMSUNG,,SIMPLE,,,0,1,0,0,rename,,,,SAMSUNG,
cmntcmnx200hi10kdzcey37e8,2TB,샌디스크 외장 SSD,SANDISK,,SIMPLE,,,0,1,0,0,rename,,,SSD,,
cmntcmnwg00du10kdxt2v254k,50m,Surface Reference Cable,Biospherical Instruments Inc.,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnwl00e810kd4l4l4m68,50m,Iridium Edge Cable,Oceaneering,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnvr008q10kdficulxfb,5819A,Conductivity Sensor,AADI,,SIMPLE,,,0,14,3,0,,,,,,
cmntcmnwa00cg10kdhn6segm3,5819A,Conductivity Sensor,Unknown,,SIMPLE,,,0,3,0,0,delete,,,,,
cmntcmnvt009010kdsgirzh29,59F2F-3,Connector,GNM,,SIMPLE,,,0,1,2,0,,,,,,
cmntcmnxj00ku10kd43869oj6,59F2F-3,Connector,Marshall Industries,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnxk00ky10kd5xa9afxm,59F2F-3,Connector,SEACON,,SIMPLE,,,0,1,1,0,,,,,,
cmntcmnv8005c10kdj5rb7fe7,A270250,Cable Grip,GNM,,SIMPLE,,,0,1,5,0,,,,,,
cmntcmnv8005910kdzh8dp0w5,A270250,Armored cable,Rochester,,SIMPLE,,,0,1,500,0,,,,,,
cmntcmnxa00je10kd8d6qoxgx,A43 Antenna,A43 Antenna,HEMISPHERE,,SIMPLE,,,0,1,0,0,rename,,A43,GPS ANTENNA,,
cmntcmnvf006810kdk1t46vs6,A43 Antenna,A43 Antenna,Oceaneering,,SIMPLE,,,0,4,0,0,rename,,A43,GPS ANTENNA,,
cmntcmntv001j10kdotx1ag2f,AR-9875A,AR-9875A,JW Fishers,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntt001210kd10v8j4o9,AR-9875A,AR-9875A,Teledyne Benthos,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntv001h10kdtl0y5l5m,ATT-400,ATT-400,JW Fishers,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmnu1002o10kdodk1gn6o,ATT-400,ATT-400,RJE,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntq000j10kdp8ajocje,ATT-400,ATT-400,SIG,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmnw000al10kdlw27wgmx,AWQ4-24SBC,Bulkhead,GNM,,SIMPLE,,,0,4,4,0,,,,,,
cmntcmnxj00kr10kd39brmqyd,AWQ4-24SBC,connector,SEACON,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnw100aw10kd63ohvdr0,Caris HIPS/SIPS,Caris HIPS/SIPS,그린블루,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnvz00ak10kdcdj27nzy,Caris HIPS/SIPS,Caris HIPS/SIPS,Teledyne Caris,,SIMPLE,,,0,2,0,0,,,,,,
cmntcmnw200b310kdhmzkp2e3,Core Liner End Cap,Core Liner End Cap,Caplugs,,SIMPLE,,,0,2,500,0,,,,,,
cmntcmnx800iz10kd34v7atvz,Core Liner End Cap,Core Liner End Cap,Mooring Systems,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnx400hr10kd5bwyhgxn,CR-1000X,Data Logger,이엘피,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnx600ig10kdyvgi2dth,CR-1000X,Data Logger,Campbell,,SIMPLE,,,0,1,1,0,,,,,,
cmntcmnx600ie10kd0y498xum,CR-1000X,Data Logger,Unknown,,SIMPLE,,,0,1,0,0,delete,,,,,
cmntcmntq000l10kd766kc6d6,CT3919,CT3919,AADI,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntx001u10kdx97efny0,CT3919,CT3919,JW Fishers,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmntr000r10kdoh9mm0u6,CT3919,CT3919,Metocean,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmntw001l10kd9zn61fmn,CT3919,CT3919,RJE,,SIMPLE,,,1,1,0,2,delete,,,,,
cmntcmntz002c10kd2s8npr20,CT3919,CT3919,Teledyne Benthos,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmntt000z10kdiqqqa4oa,CT3919,CT3919,ZEBRA TECH,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmnt8000110kd5j2aa0us,CT3919A,CT3919A,AADI,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntp000g10kdlvqlylhb,CT3919A,CT3919A,Unknown,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmntv001f10kdtnonntdl,CT4319,CT4319,JW Fishers,,SIMPLE,,,0,0,0,0,rename,,,,AADI,
cmntcmntw001m10kduyr3wuqj,CT4319,CT4319,Teledyne Benthos,,SIMPLE,,,0,0,0,0,rename,,,,AADI,
cmntcmntf000310kdaik35uy5,CT4319A,CT4319A,AADI,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntq000m10kdm7okv1zj,CT4319A,CT4319A,Unknown,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmntw001o10kdgjcyc0wd,CTD,CTD,Idronaut,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntu001910kddi8mo2d3,CTD,CTD,Teledyne Benthos,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmntp000i10kddwv9jvo1,CTD304,CTD304,Idronaut,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntn000a10kd00k1uocf,CTD304,CTD304,MIROS,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmnt3000010kd5kl9n9gv,CTD304 Plus,CTD304 Plus,Idronaut,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntx001z10kduvy14335,CTD304 Plus,CTD304 Plus,KOAST,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmnty002410kd0yzh6qzc,CTD304 Plus,CTD304 Plus,MIROS,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmntv001c10kdhphkmx3l,CTD 305,CTD 305,Idronaut,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntx001v10kdo9tyr84e,CTD 305,CTD 305,KOAST,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmntx001q10kdi537ymdi,CTD310,CTD310,AADI,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmntt001010kdtundpjqx,CTD310,CTD310,Idronaut,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntp000h10kdp6b9gnz5,DHI-1 (Gun_Diver),DHI-1 (Gun_Diver),JW Fishers,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntz002710kdix36thxg,DHI-1 (Gun_Diver),DHI-1 (Gun_Diver),Unknown,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmnxe00jg10kdgqqe60k0,Dissolved Oxygen Blue Membrane Cap,Dissolved Oxygen Blue Membrane Cap,Idronaut,,SIMPLE,,,0,2,0,0,,,,,,
cmntcmnwz00gv10kdey4ya62w,Dissolved Oxygen Blue Membrane Cap,Dissolved Oxygen Blue Membrane Cap,Unknown,,SIMPLE,,,0,1,5,0,delete,,,,,
cmntcmntq000o10kdxqwxg512,DRI 267A,DRI 267A,JW Fishers,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmnty002010kd7jx3us60,DRI 267A,DRI 267A,Teledyne Benthos,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntz002610kd9jqiz5yf,DTI300A,DTI300A,JW Fishers,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntt001410kda4le0wtc,DTI300A,DTI300A,RJE,,SIMPLE,,,0,2,1,0,,,,,,
cmntcmnxn00lm10kdsupp2y53,For Seaguard,Battery Case,AADI,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnwc00cp10kdklgny1s5,For Seaguard,Battery Case,Unknown,,SIMPLE,,,0,2,2,0,delete,,,,,
cmntcmnwp00ew10kdnw6rpy88,GNSS Antenna,GNSS Antenna,RESON,,SIMPLE,,,0,2,2,0,,,,,,
cmntcmnwu00g810kdz42y7d14,GNSS Antenna,GNSS Antenna,Trimble,,SIMPLE,,,0,5,0,0,,,,,,
cmntcmnxa00jd10kdf9t3y0jk,Hemisphere R632-System,Hemisphere R632-System,HEMISPHERE,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnvf006e10kdkxitpg9b,Hemisphere R632-System,Hemisphere R632-System,Oceaneering,,SIMPLE,,,0,4,0,0,,,,,,
cmntcmnx400hs10kdtg60jfsy,HMP155,Air Temperature Sensor,이엘피,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnwt00g610kdi897zgvq,HMP155,Air Temperature Sensor,Vaisala,,SIMPLE,,,0,8,2,0,,,,,,
cmntcmntx001s10kdmjpxxizu,Hydro wiper,Hydro wiper,AADI,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntr000p10kdr7gqk3sf,Hydro wiper,Hydro wiper,ZEBRA TECH,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnxa00jc10kdad5pcawe,LMR400 Antenna cable,LMR400 Antenna cable,HEMISPHERE,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnvf006c10kdmdel3css,LMR400 Antenna cable,LMR400 Antenna cable,Oceaneering,,SIMPLE,,,0,5,0,0,,,,,,
cmntcmnv2003x10kdtqqy9xn4,MCBH-2-FS,Connector,SEACON,,SIMPLE,,,0,1,5,0,,,,,,
cmntcmnv5004m10kd4p7of5ev,MCBH-2-FS,Bulkhead,SUBCONN,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnvw009n10kd0gwedj1n,MCBH-2-FS TI,Bulkhead,LANHE,,SIMPLE,,,0,3,14,0,,,,,,
cmntcmnwa00ch10kdoc0m6jfs,MCBH-2-FS TI,Bulkhead,Unknown,,SIMPLE,,,0,1,0,0,delete,,,,,
cmntcmnxn00lq10kdewxbbmg1,MCDC-4-FS,DUMMY,LANHE,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnv0003l10kdntbvhyxk,MCDC-4-FS,DUMMY,SEACON,,SIMPLE,,,0,1,8,0,,,,,,
cmntcmnv3004510kdjgpu66lu,MCDC-6-FS,DUMMY,SEACON,,SIMPLE,,,0,1,16,0,,,,,,
cmntcmnv3004710kdb3j2csu9,MCDC-6-FS,DUMMY,SUBCONN,,SIMPLE,,,0,1,7,0,,,,,,
cmntcmnvm008210kdxovb8gvq,MCDC-6-MP,Dummy,LANHE,,SIMPLE,,,0,2,7,0,,,,,,
cmntcmnv1003n10kdkxhms30i,MCDC-6-MP,DUMMY,SUBCONN,,SIMPLE,,,0,1,5,0,,,,,,
cmntcmnve006310kd7ab373g4,MCDC-8-FS,Dummy,JHS,,SIMPLE,,,0,1,5,0,,,,,,
cmntcmnv2003u10kdnkvt9x6a,MCDC-8-FS,DUMMY,SEACON,,SIMPLE,,,0,1,9,0,,,,,,
cmntcmnvu009810kddzeo6tsi,MCIL-4-MP,Cable,LANHE,,SIMPLE,,,0,4,0,0,,,,,,
cmntcmnxl00la10kdpbafs0la,MCIL-4-MP,Cable,OCEANHEAD,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnwe00dc10kdznejw0ek,MCIL-5-FS,Cable,Deepsea,,SIMPLE,,,0,2,0,0,,,,,,
cmntcmnvj007a10kdfnxe21tv,MCIL-5-FS,Cable,LANHE,,SIMPLE,,,0,3,10,0,,,,,,
cmntcmnw100aq10kdqti3g6zz,MCIL-6-MP,Cable,LANHE,,SIMPLE,,,0,3,1,0,,,,,,
cmntcmnxm00lf10kdhugvmiga,MCIL-6-MP,Cable,OCEANHEAD,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnv4004b10kdlzw4bxgo,MCIL-6-MP,Cable,SUBCONN,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmnvr008n10kdt5hb3x64,Nose Cone & Propeller shaft ASSY,Wind sensor Spare parts,GNM,,SIMPLE,,,0,2,2,0,,,,,,
cmntcmnv6004u10kd8gpl67yh,Nose Cone & Propeller shaft ASSY,Wind sensor Spare parts,RM Young,,SIMPLE,,,0,4,3,0,,,,,,
cmntcmnuy002s10kd53fzgiow,Phins,Phins,Exail,,SIMPLE,,,0,2,0,0,,,,,,
cmntcmnti000610kdy9on7ajq,Phins,Phins,Unknown,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmnvt008z10kdx2jnt98h,Propeller,Wind sensor Spare parts,GNM,,SIMPLE,,,0,2,1,0,,,,,,
cmntcmnvd005z10kdxd4ta3xb,Propeller,Wind sensor Spare parts,RM Young,,SIMPLE,,,0,1,1,0,,,,,,
cmntcmnu1002m10kdbama1hgo,SeaSonde Transmitter (SSTX-100-1300-220,SeaSonde Transmitter (SSTX-100-1300-220,CODAR,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntz002g10kdqly8fz22,SeaSonde Transmitter (SSTX-100-1300-220,SeaSonde Transmitter (SSTX-100-1300-220,JW Fishers,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmntz002b10kdnyi8rxq6,SM-094,SM-094,JW Fishers,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmntt001610kdj0pscgnc,SM-094,SM-094,MIROS,,SIMPLE,,,0,0,0,0,,,,,,
cmntcmntz002e10kdt6htuonv,SM-140,SM-140,JW Fishers,,SIMPLE,,,0,0,0,0,delete,,,,,
cmntcmnuu002r10kd71xmm3fn,SM-140,SM-140,MIROS,,SIMPLE,,,0,5,0,0,,,,,,
cmntcmnwc00cu10kd8jph9yhn,T50-P,Seabat,RESON,,SIMPLE,,,0,1,0,0,,,,,,
cmntcmntt001510kdu8epi6no,T50-P,T50-P,Teledyne Marine,,SIMPLE,,,0,0,0,0,rename,,,Seabat,,
cmntcmnvi007510kd2brz041d,TC4013-1,Hydrophone,RESON,,SIMPLE,,,0,5,2,0,,,,,,
cmntcmnvi006z10kdcfvoliaf,TC4013-1,Hydrophone,RTsys,,SIMPLE,,,0,1,1,0,,,,,,
cmntcmnty002310kd2nc2ri5l,UAT-376EL,UAT-376EL,RJE,,SIMPLE,,,0,0,0,0,,,,,,
